Invoice ID,Branch,City,Customer type,Gender,Product type,Unit price,Quantity,Tax (5%),Total price,Date,Time,Payment type,COGS,gross margin (%),gross income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,$74.7,7,$26.1,$549.0,05-Jan-2019,13:08,Ewallet,$522.83,4.76,26.1415,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,$15.3,5,$3.8,$80.2,06-Jan-2019,10:29,Cash,$76.40,4.761904762,3.82,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,$46.3,7,$16.2,$340.5,07-Jan-2019,13:23,Credit card,$324.31,4.761904762,16.2155,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,$58.2,8,$23.3,$489.0,08-Jan-2019,20:33,Ewallet,$465.76,4.761904762,23.288,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,$86.3,7,$30.2,$634.4,09-Jan-2019,10:37,Ewallet,$604.17,4.761904762,30.2085,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,$85.4,7,$29.9,$627.6,10-Jan-2019,18:30,Ewallet,$597.73,4.761904762,29.8865,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,$68.8,6,$20.7,$433.7,11-Jan-2019,14:36,Ewallet,$413.04,4.761904762,20.652,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,$73.6,10,$36.8,$772.4,12-Jan-2019,11:38,Ewallet,$735.60,4.761904762,36.78,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,$36.3,2,$3.6,$76.1,13-Jan-2019,17:15,Credit card,$72.52,4.761904762,3.626,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,$54.8,3,$8.2,$172.7,14-Jan-2019,13:27,Credit card,$164.52,4.761904762,8.226,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,$14.5,4,$2.9,$60.8,15-Jan-2019,18:07,Ewallet,$57.92,4.761904762,2.896,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,$25.5,4,$5.1,$107.1,16-Jan-2019,17:03,Cash,$102.04,4.761904762,5.102,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,$47.0,5,$11.7,$246.5,17-Jan-2019,10:25,Ewallet,$234.75,4.761904762,11.7375,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,$43.2,10,$21.6,$453.5,18-Jan-2019,16:48,Ewallet,$431.90,4.761904762,21.595,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,$71.4,10,$35.7,$749.5,19-Jan-2019,19:21,Cash,$713.80,4.761904762,35.69,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,$93.7,6,$28.1,$590.4,20-Jan-2019,16:19,Cash,$562.32,4.761904762,28.116,4.5
